user_id,impressions,revenue,rpi,Unity,Facebook,Admob
1000029,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000030,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000031,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000032,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000033,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000034,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000035,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000036,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000037,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000038,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000039,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000040,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000041,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000042,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000043,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000044,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000045,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000046,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000047,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000048,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000049,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000050,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000051,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000052,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000053,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000054,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000055,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000056,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000057,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000058,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000059,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000060,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000061,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000062,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000063,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000064,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000065,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000066,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000067,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000068,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000069,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000070,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000071,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000072,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000073,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000074,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000075,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000076,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000077,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000078,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000079,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000080,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000081,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000082,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000083,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000084,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000085,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000086,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000087,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000088,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000089,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000090,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000091,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000092,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000093,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000094,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000095,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000096,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000097,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000098,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000099,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000100,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000101,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000102,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000103,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000104,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000105,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000106,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000107,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000108,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000109,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000110,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000111,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000112,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000113,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000114,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000115,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000116,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000117,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000118,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000119,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000120,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000121,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000122,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000123,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000124,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000125,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000126,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000127,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000128,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000129,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000130,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000131,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000132,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000133,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000134,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000135,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000136,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000137,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000138,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000139,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000140,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000141,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000142,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000143,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000144,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000145,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000146,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000147,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000148,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000149,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000150,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000151,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000152,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000153,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000154,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000155,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000156,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000157,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000158,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000159,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000160,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000161,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000162,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000163,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000164,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000165,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000166,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000167,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000168,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000169,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000170,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000171,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000172,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000173,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000174,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000175,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000176,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000177,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000178,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000179,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000180,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000181,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000182,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000183,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000184,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000185,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000186,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000187,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000188,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000189,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000190,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000191,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000192,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000193,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000194,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000195,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000196,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000197,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000198,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000199,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000200,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000201,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000202,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000203,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000204,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000205,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000206,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000207,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000208,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000209,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000210,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000211,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000212,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000213,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000214,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000215,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000216,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000217,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000218,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000219,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000220,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000221,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000222,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000223,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000224,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000225,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000226,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000227,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000228,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000229,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000230,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000231,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000232,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000233,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000234,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000235,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000236,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000237,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000238,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000239,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000240,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000241,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000242,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000243,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000244,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000245,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000246,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000247,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000248,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000249,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000250,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000251,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000252,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000253,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000254,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000255,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000256,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000257,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000258,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000259,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000260,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000261,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000262,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000263,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000264,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000265,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000266,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000267,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000268,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000269,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000270,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000271,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000272,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000273,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000274,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000275,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000276,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000277,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000278,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000279,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000280,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000281,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000282,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000283,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000284,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000285,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000286,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000287,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000288,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000289,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000290,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000291,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000292,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000293,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000294,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000295,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000296,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000297,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000298,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000299,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000300,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000301,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000302,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000303,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000304,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000305,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000306,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000307,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000308,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000309,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000310,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000311,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000312,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000313,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000314,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000315,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000316,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000317,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000318,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000319,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000320,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000321,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000322,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000323,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000324,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000325,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000326,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000327,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000328,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000329,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000330,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
